TICKER,ELECTION_CYCLE,COMMITTEE_NAME,COMMITTEE_TYPE_FULL,PARTY_NAME_FULL,RECEIPT_AMOUNT
MSFT,2024,CARTWRIGHT FOR CONGRESS,House,Democrat,6600.000000
MSFT,2024,KLOBUCHAR FOR MINNESOTA,Senate,Other,6600.000000
MSFT,2024,PAT RYAN FOR CONGRESS,House,Democrat,6600.000000
MSFT,2024,RICHARD E NEAL FOR CONGRESS COMMITTEE,House,Democrat,6600.000000
MSFT,2024,DON DAVIS FOR NC,House,Democrat,6600.000000
MSFT,2024,ALTMAN FOR CONGRESS,House,Democrat,6600.000000
MSFT,2024,VOTE BAUMGARTNER FOR CONGRESS,House,Republican,6600.000000
MSFT,2024,FRIENDS OF RAJA FOR CONGRESS,House,Democrat,6300.000000
MSFT,2024,NJ DEMS VICTORY FUND,PAC - Nonqualified,Democrat,6300.000000
MSFT,2024,SCHOLTEN FOR CONGRESS,House,Democrat,6300.000000
MSFT,2024,EMILY RANDALL FOR CONGRESS,House,Democrat,6300.000000
MSFT,2024,THE BILL KEATING COMMITTEE,House,Democrat,6250.000000
MSFT,2024,PEOPLE FOR DEREK KILMER,House,Democrat,6200.000000
MSFT,2024,VOTE SAVE AMERICA,PAC - Qualified,Dark PAC,6000.000000
MSFT,2024,IN THIS TOGETHER PAC,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Dark PAC,6000.000000
MSFT,2024,GUY FOR CONGRESS,House,Republican,6000.000000
MSFT,2024,NADLER FOR CONGRESS,House,Democrat,6000.000000
MSFT,2024,BLUE HEN FEDERAL PAC,PAC - Qualified,Democrat,6000.000000
MSFT,2024,VICTORY NOW PAC,PAC - Qualified,Democrat,6000.000000
MSFT,2024,SUSHEELA JAYAPAL FOR CONGRESS,House,Democrat,6000.000000
MSFT,2024,FRIENDS OF JIM CLYBURN,House,Democrat,6000.000000
MSFT,2024,BLAKE MOORE FOR CONGRESS,House,Republican,6000.000000
MSFT,2024,REPUBLICAN MAJORITY FUND,PAC - Qualified,Republican,6000.000000
MSFT,2024,SANFORD BISHOP FOR CONGRESS,House,Democrat,6000.000000
MSFT,2024,CAREY FOR CONGRESS,House,Republican,6000.000000
MSFT,2024,CITIZENS FOR TURNER,House,Republican,5800.000000
MSFT,2024,LIFTOFF PAC,PAC - Qualified,Democrat,5800.000000
MSFT,2024,ALSOBROOKS VICTORY FUND,PAC - Nonqualified,Dark PAC,5800.000000
MSFT,2024,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,PAC - Nonqualified,Republican,5550.490000
MSFT,2024,HERN FOR CONGRESS,House,Republican,5500.000000
MSFT,2024,MATSUI FOR CONGRESS,House,Democrat,5500.000000
MSFT,2024,ACTBLUE,Hybrid PAC (with Non-Contribution Account) - Nonqualified,Democrat,5300.000000
MSFT,2024,DAVE MIN FOR CONGRESS,House,Democrat,5300.000000
MSFT,2024,ROUNDS FOR SENATE,Senate,Republican,5000.000000
MSFT,2024,PERIMETER PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,FISCHBACH FOR CONGRESS,House,Republican,5000.000000
MSFT,2024,SCOTT PETERS FOR CONGRESS,House,Democrat,5000.000000
MSFT,2024,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,Party - Qualified,Democrat,5000.000000
MSFT,2024,JOE NEGUSE FOR CONGRESS,House,Democrat,5000.000000
MSFT,2024,LASTING INVESTMENTS STRENGTHENING AMERICA PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,OLD NORTH STATE PAC,PAC - Qualified,Republican,5000.000000
MSFT,2024,DARREN SOTO FOR CONGRESS,House,Democrat,5000.000000
MSFT,2024,FORWARD TOGETHER PAC,PAC - Qualified,Democrat,5000.000000
MSFT,2024,"MARK ALFORD FOR CONGRESS, INC.",House,Republican,5000.000000
MSFT,2024,FUTURE FORUM PAC,PAC - Qualified,Democrat,5000.000000
